Device,Parent Device,Sensor,Location,Time,Value,Units,Status
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 8:00:00 AM",31,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 9:00:00 AM",32,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 10:00:00 AM",32,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 11:00:00 AM",32,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 12:00:00 PM",32,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 1:00:00 PM",25,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 2:00:00 PM",24,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 3:00:00 PM",33,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 4:00:00 PM",25,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 5:00:00 PM",37,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 6:00:00 PM",25,% RH,
Average Humidity of Cold Aisle  Containment 2,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 2,,"28 Aug, 2020 7:00:00 PM",38,% RH,
